Patient,FN + FB,T cell,Vim+ FB,aSMA+ FB,endothelial,mixed FB,quies mix str,quies str
63,0.17111315547378106,0.020239190432382703,0.05611775528978841,0.05105795768169273,0.07129714811407543,0.01701931922723091,0.5482980680772769,0.06485740570377185
68,0.26790450928381965,0.0,0.22944297082228116,0.08885941644562334,0.0,0.33554376657824936,0.07427055702917772,0.003978779840848806
7,0.0,0.0,0.0,0.0,0.0,0.0,0.05390463026952315,0.9460953697304768
70,0.0,0.0,0.023661270236612703,0.0012453300124533001,0.0,0.0,0.32503113325031135,0.6500622665006227
72,0.2626689189189189,0.0008445945945945946,0.53125,0.007601351351351352,0.0008445945945945946,0.002533783783783784,0.1891891891891892,0.005067567567567568
73,0.0,0.0853517877739331,0.4532871972318339,0.0,0.0,0.0,0.4555940023068051,0.0057670126874279125
74,0.029152542372881354,0.002711864406779661,0.46305084745762715,0.26101694915254237,0.05084745762711865,0.09491525423728814,0.08271186440677966,0.015593220338983051
80,0.2277892561983471,0.0,0.25464876033057854,0.006198347107438017,0.002066115702479339,0.035640495867768594,0.3357438016528926,0.13791322314049587
83,0.0,0.07260155574762317,0.0,0.5496974935177182,0.0,0.0,0.12273120138288678,0.2549697493517718
86,0.007142857142857143,0.0,0.0,0.0,0.007142857142857143,0.0,0.3122448979591837,0.673469387755102
9,0.24444444444444444,0.0036036036036036037,0.11171171171171171,0.187987987987988,0.010810810810810811,0.04384384384384384,0.3183183183183183,0.07927927927927927
91,0.906318082788671,0.0,0.05185185185185185,0.0030501089324618735,0.0008714596949891067,0.0,0.03747276688453159,0.00043572984749455336
94,0.15332771693344566,0.013479359730412805,0.535804549283909,0.03622577927548441,0.05391743892165122,0.062342038753159225,0.13900589721988205,0.005897219882055603
95,0.4018302828618968,0.0008319467554076539,0.5399334442595674,0.008319467554076539,0.0008319467554076539,0.04492512479201331,0.0033277870216306157,0.0
97,0.004177545691906005,0.0,0.8198433420365535,0.0026109660574412533,0.0,0.007310704960835509,0.16553524804177547,0.0005221932114882506
98,0.011721611721611722,0.0,0.030036630036630037,0.2271062271062271,0.0007326007326007326,0.06593406593406594,0.4146520146520147,0.24981684981684982
Z1,0.6715447154471544,0.0,0.2764227642276423,0.0024390243902439024,0.01788617886178862,0.0024390243902439024,0.026016260162601626,0.0032520325203252032
Z11,0.2111111111111111,0.0,0.7282051282051282,0.004273504273504274,0.04358974358974359,0.0008547008547008547,0.011965811965811967,0.0
Z14,0.6885245901639344,0.0,0.2615823235923022,0.005702066999287242,0.024233784746970778,0.008553100498930863,0.009978617248752673,0.0014255167498218105
Z15,0.6785063752276868,0.0009107468123861566,0.2459016393442623,0.015482695810564663,0.01366120218579235,0.022768670309653915,0.022768670309653915,0.0
Z2,0.23412698412698413,0.000992063492063492,0.37103174603174605,0.03571428571428571,0.054563492063492064,0.08234126984126984,0.1765873015873016,0.044642857142857144
Z20,0.8168724279835391,0.0006858710562414266,0.09979423868312758,0.0017146776406035665,0.04080932784636488,0.02914951989026063,0.010973936899862825,0.0
Z24,0.018363939899833055,0.0005564830272676684,0.4006677796327212,0.15191986644407346,0.04284919309961046,0.0027824151363383415,0.2838063439065108,0.09905397885364496
Z25,0.387156529793146,0.07317073170731707,0.03920963260265514,0.030873726458783574,0.24451991355356592,0.060512503859215805,0.11546773695585057,0.049089225069465885
Z26,0.6792682926829269,0.0,0.12804878048780488,0.06585365853658537,0.03414634146341464,0.05853658536585366,0.03414634146341464,0.0
Z27,0.2607062359128475,0.2937640871525169,0.18519909842223892,0.07137490608564989,0.14350112697220135,0.007513148009015778,0.035311795642374154,0.002629601803155522
Z3,0.06045678459471563,0.0008956560680698612,0.08508732646663682,0.2140618002686968,0.011643528884908196,0.1141961486789073,0.3909538737124944,0.12270488132557097
Z30,0.244122965641953,0.0,0.1717902350813743,0.14647377938517178,0.24050632911392406,0.19349005424954793,0.003616636528028933,0.0
Z31,0.06357103372028745,0.31453841901603097,0.013266998341625208,0.020729684908789386,0.5627418463239359,0.01105583195135434,0.012161415146489774,0.0019347705914870095
Z39,0.642691415313225,0.0,0.2877030162412993,0.0069605568445475635,0.002320185614849188,0.0,0.060324825986078884,0.0
Z4,0.5868187579214195,0.0012674271229404308,0.07224334600760456,0.015209125475285171,0.015209125475285171,0.03802281368821293,0.2534854245880862,0.017743979721166033
Z40,0.48599905078310396,0.08732795443758899,0.05837683910773612,0.13526340768865686,0.05078310393925012,0.0009492168960607499,0.11675367821547224,0.064546748932131
Z42,0.9032258064516129,0.0,0.004962779156327543,0.0,0.0,0.07692307692307693,0.01488833746898263,0.0
